Tweet,Class,NumberOfNumbers,Automated Readability Index,Flesch Reading Ease,Linsear Write,AverageLengthOfPropositions,Flesch Kincaid Grade Level,NumberOfUppercaseWords,NumberOfSpecialCharacters,NumberOfPunctuationCharacters,Dale Chall Readability,AverageLengthOfWords,NumberOfTotalCharacters,NumberOfUpperCharacters,NumberOfLowercaseCharacters,NumberOfPropositions
"RT @RobertWilonsky: Dallas, Irving actually had 5 earthquakes at the end of last week, bringing total to 60. BOOM. http://t.co/b3HtnR3oGY h",0,4,15.8,41.7,13.5,7.0,12.7,2,12,7,15.96,5.73,139,14,89,3
"RT @HuffingtonPost: Iowa pastor: \We control the Republican Party pretty much\"" http://t.co/iOf0rMoc5X http://t.co/ozEWXjpf0V""",0,3,26.4,15.98,8.5,13.0,14.3,1,17,8,17.64,6.2,126,15,79,1
RT @Sooner_Magic: Insane that we need HB 562 to clarify what people should already know. #standwithbeth #irving #ShariaLaw,0,1,10.5,53.88,5.5,9.0,8.0,2,9,2,11.98,6.67,122,9,86,2
RT @jodiw: #SeaWorld has more places to park than it does for their #orcas to swim  http://t.co/F5gyTzavU8 #AskSeaWorld #blackfish,0,2,10.8,78.75,4.25,19.0,4.6,1,11,3,13.25,6.0,130,10,88,1
"RT @CalvertFOX4: Local Muslim leaders tell me after #HB562 was proposed, then supported by Irving, the main mosque received threats of viol",0,4,14.8,57.61,12.0,22.0,10.7,2,5,3,14.78,6.46,139,11,98,1
RT @laloalcaraz: Harvard should ask for its diploma back. #TedCruz,0,0,10.4,78.25,4.0,5.0,4.8,1,4,2,12.03,6.33,66,5,48,2
RT @ImamZia: @MaxDevlin @MattRinaldiTX @RepKenSheets @Bethvanduyne @aviselk Read more here about Gaffney. http://t.co/izBBguV71g,0,2,27.1,41.36,10.5,6.5,10.7,1,13,4,18.86,8.11,128,19,82,2
Western companies see potential in reaching Irans consumers after nuclear deal http://t.co/YidPTDTJbA via @WSJ,0,0,14.7,38.99,4.5,14.0,9.6,1,6,2,17.52,6.78,110,12,79,1
RT @thehill: Report: Jeb Bush registered to vote as Hispanic in 2009 http://t.co/nNGDOSfzUo http://t.co/ql5UbvfP9c,0,3,19.5,23.43,11.0,14.0,13.5,1,16,6,16.74,5.33,114,14,68,1
This week's Random Ramble.  Never pass up an opportunity to learn something new. http://t.co/B5W2JvWaXv,0,2,12.0,64.37,3.0,4.67,6.0,0,8,5,13.01,6.0,103,9,70,3
"@SethMacFarlane I suppose I will be among those who take the lead and say \I'm sorry. Especially for the pickle / banana thing.  I'm sorry.\""""",0,0,7.6,67.76,6.25,8.33,6.8,4,11,7,5.55,6.2,142,8,98,3
"@DJSnM that would seem just as dependent upon the logistics of the material providers as it is SpaceX. If all materials were in stock, then?",0,0,6.7,67.25,7.25,12.5,7.0,0,4,3,8.68,7.5,140,7,105,2
@Zaush but I admire that he made a life goal and stuck to it!  :D,0,0,1.8,98.55,6.5,7.5,3.2,2,3,2,6.49,4.67,65,3,44,2
@zoey_rae @DFWscanner Please tell me you have tiny hands.  X.x  Oh goodness!,0,0,6.3,90.77,2.5,6.0,2.1,0,6,3,9.2,6.33,76,6,51,2
@Rocket_Corgi you made it... what do you mean you made it?  What did you do?!  X.x,0,0,0.4,99.94,2.0,5.33,0.6,0,9,7,5.87,5.75,82,4,52,3
@Rocket_Corgi That's an interresting effect.  o.o  I haven't explored a black hole yet.  I have not played nearly enough at all.,0,0,5.6,81.29,3.17,7.0,3.7,2,8,6,8.5,6.56,128,5,92,3
@ForgiverOfYiffs The also seem to prefer to kiss with their eyes open. Not sure why that's so unsettling.  :3,0,1,5.6,78.75,4.75,6.33,4.6,0,5,4,8.26,7.17,109,5,79,3
@Zaush @Ares_Ahiro you realize I intend to blame this everytime I trip on something unidentifiable in the dark from now on.,0,0,12.1,58.62,13.5,21.0,10.3,2,4,1,8.44,7.11,123,5,94,1
@Scapponess this BEGS for storytime,0,0,10.3,66.4,2.5,5.0,5.2,1,1,0,13.36,7.67,35,5,25,1
@mishacollins now none of us remember what we were gonna say.,0,0,5.9,85.69,5.5,11.0,4.0,0,2,1,7.05,7.67,61,0,49,1
My previous retweet is super important to me for reasons people who know the real me will understand the most.,0,0,10.0,59.64,13.0,20.0,9.9,0,1,1,7.79,7.14,110,1,89,1
RT @SciencePorn: New Virtual Reality Illusion Makes People Feel Invisible: https://t.co/IMbJCeVUKe #sp http://t.co/2qJOHBmlPs,0,1,22.7,-19.73,5.75,13.0,17.6,1,14,6,20.96,6.11,125,24,74,1
@Ares_Ahiro man I couldn's sell a good series if it was chocolate covered with free sex.  X.x,0,0,8.1,88.06,7.5,8.5,5.2,1,5,3,10.05,5.75,93,4,67,2
@SciencePorn it is shameful that we STILL have to invest that much energy into the research of a fact.  X.x,0,0,9.1,59.64,12.0,10.0,9.9,1,3,2,9.37,6.57,107,8,76,2
"@Ares_Ahiro it couldn't hurt to check out an episode.  It's kinda violent to be considered \for girls\"" in my opinion.  Feels like live anime""",0,0,5.6,80.28,3.67,8.0,4.1,0,10,6,9.95,5.86,142,4,103,3
@Ares_Ahiro I had never considered it quite like that.  But perhaps you are right.  O.o;,0,0,4.9,89.24,3.25,5.0,2.7,1,6,4,7.17,6.0,88,5,61,3
@Ares_Ahiro have you watched Supernatural yet?,0,0,13.7,48.47,3.0,6.0,8.0,0,3,1,11.83,9.67,46,3,35,1
"@Zaush lack of apex predators weeding out the dumb, sick ones?",0,0,6.3,94.15,4.5,11.0,2.9,0,3,2,12.79,5.29,62,1,48,1
"@portzebie awkwardly hesitant supportive reply buried in a mask of humor due to poorly explained fear of \big brother\"".""",0,0,13.6,52.19,12.5,19.0,10.7,0,6,3,12.06,6.43,121,0,97,1
"Today's Random Ramble. Let's explore together as colleagues old, new, and even undiscovered. There's much to be found http://t.co/9Wy9LnGIZ7",0,3,12.0,65.08,3.17,6.33,5.7,0,12,9,13.09,7.29,140,10,97,3
"I will be participating more on Twitter. I'm introducing a weekly \Random Ramble\"" which will generally just be my own thoughtful reflection.""",0,0,10.0,43.39,6.5,11.0,9.9,2,7,5,10.64,8.89,142,5,109,2
@Telephonesqueak @Draconicarcher @Saltonott @MonoyashaDvC I can forgive it. I can't fathom the amount of energy those playful things use.,0,0,12.8,70.29,5.25,9.5,5.8,2,7,3,10.76,8.27,137,8,104,2
"@MikaseCoyote I always imagine that is how angry people see everything?  Blurry with red, pulsing peripheral haze",0,0,9.4,45.93,4.75,8.5,9.0,1,3,2,9.63,6.75,113,4,89,2
@SavrinDrake I rotoscoped a chair once.,0,0,8.3,90.77,3.0,6.0,2.1,1,2,1,9.2,8.67,39,3,29,1
@StripeyButt Rolled a 1 there I see.,0,1,2.3,106.67,2.5,7.0,0.1,1,2,1,10.75,6.0,36,4,23,1
@Remy__Wolf @TakodaWuff I'll just keep these for later study... (shuff),0,0,12.8,78.25,5.0,10.0,4.8,1,10,6,10.45,7.5,71,5,47,1
"@ChefSandy I was considering heading out that way after work, but approaching storms may nix that idea.  Nice tarantula incidentally.  :3",0,1,9.6,52.36,6.25,7.0,8.6,1,5,4,10.92,7.27,137,4,105,3
@AlkiFox what disaster have you decided to write about?  Did terry give specifics on what kind of engineering?,0,0,7.1,62.34,5.5,9.0,6.8,0,3,2,9.35,6.67,110,3,86,2
@tweetsoutloud the best beer is any that you can't get a cell phone signal through.,0,0,7.7,90.09,7.5,15.0,4.4,0,3,2,6.49,5.83,83,0,66,1
@Citrinelle He should have tried the Master Ball.,0,0,7.3,88.74,3.0,8.0,2.9,0,2,1,6.01,6.67,49,4,36,1
@StephenKing I suspect the only reason you hadn't considered this plot is that you feared actual injury to your faithful readers.  #tooscary,0,0,14.8,57.61,13.0,11.0,10.7,1,4,2,11.9,6.83,140,3,111,2
"@mishacollins Thankfully, for this particular universe, even the end of the world wouldn't mean the end of the show.  #resilience",0,0,14.2,59.64,12.0,10.0,9.9,0,6,4,8.58,7.75,129,1,102,2
"@mishacollins good job, now my wife's a fan.  O.o",0,0,4.0,104.64,3.5,4.5,0.9,0,5,4,9.35,5.5,49,1,34,2
"@SethMacFarlane Sure it's got a great smile, but everyone knows it's the girth that really counts.",0,0,11.0,72.16,11.0,16.0,7.2,0,5,4,8.38,7.0,98,4,74,1
RT @DalaiLama: Being aware of a single shortcoming within yourself is far more useful than being aware of a thousand in someone else.,0,0,12.8,56.59,13.5,23.0,11.1,1,3,2,8.21,6.57,133,5,103,1
RT @SciencePorn: Asteroid size of Statue of Liberty on collision course with Earth http://t.co/qv1VornkZB http://t.co/lUIHQp3q98,0,4,21.9,30.87,13.5,15.0,12.7,1,12,5,14.91,6.44,128,15,83,1
@2_gryphon I'm sure it's illegal for me to buy you with food stamps in certain states.,0,1,7.5,80.62,8.0,16.0,6.0,1,5,3,7.39,5.83,86,1,64,1
"@2_gryphon sounds delicious, but kind of pricey.",0,1,10.3,81.29,3.5,7.0,3.7,0,4,2,13.01,6.8,48,0,37,1
@DJSnM @elonmusk @RichardGarriott @kwrzesien The average guy can't even pee without hitting the floor.  Gonna have to call this a success.,0,0,10.1,77.74,4.75,10.5,5.0,0,7,3,10.92,6.08,138,8,102,2
@DJSnM @elonmusk @RichardGarriott @kwrzesien And a WAY higher center of gravity.,0,0,14.0,51.85,5.5,11.0,8.8,1,5,1,12.79,8.0,80,10,55,1
@elonmusk that is incredible.  Puts some perspective on the feat.,0,0,7.0,66.4,2.5,5.0,5.2,0,3,2,11.78,7.4,65,1,51,2
@hankgreen darn it someone else beat me to pony.  I'll say Alicorn just to one up them.  X.x,0,0,2.2,96.18,3.5,6.0,2.1,1,5,4,6.71,5.17,92,3,65,3
"@donttrythis @SharonKWn while this may seem to be irrelevant, it's true. Those classes teach method and problem solving in ways others don't",0,0,9.6,77.23,5.5,11.0,5.2,0,6,4,10.64,6.9,140,4,109,2
"@rollinrabbits and despite my having been at work for nine hours, I hazard to guess that you were actually more productive than I was.",0,0,12.4,64.04,14.0,24.0,10.3,2,3,2,8.77,7.14,134,2,106,1
This... So very this. https://t.co/aeA1FGVyvo,0,1,19.7,66.4,2.5,1.67,5.2,0,9,6,16.52,0.0,45,6,25,3
@mishacollins and could get your car keys when you invariably drop them in a storm drain.,0,0,8.4,89.08,8.0,16.0,4.8,0,2,1,7.39,6.14,89,0,72,1
"@mishacollins however, think of the possibilities if even half your followers were willing to provide you with ten Lima beans....",0,0,14.5,51.18,13.0,20.0,11.1,0,6,5,9.37,7.57,129,1,103,1
"@NidoShepsky I know, I was poking fun at the ignorant idea that you might.  :D  regardless of how delicious he probably is.",0,0,5.5,68.77,6.5,11.0,6.4,3,5,4,9.21,7.0,123,5,90,2
"@NidoShepsky if you can't eat that child, just eat the uncle, he seems to think he's immune from it or something. Overconfidence is weakness",0,0,7.6,84.68,5.5,12.0,4.4,0,6,5,6.86,6.44,140,3,108,2
@LackadaisyCats I am both surprised and grateful that you could invest the time for this one!  You made the point beautifully.  :3,0,1,7.0,77.23,5.5,7.33,5.2,1,4,3,7.77,7.62,130,4,98,3
RT @LackadaisyCats: Sometimes there's nothing to do but respond to stupid with more stupid. http://t.co/0ZEE9IKAiC,0,2,17.5,64.71,8.5,7.5,8.0,1,9,5,13.85,7.0,114,12,77,2
"@Zoey_Michele_ @AlkiFox As a science enthusiast, this begs to be researched.  X.x",0,0,11.7,59.3,7.0,6.0,8.0,0,7,3,13.44,7.71,81,6,56,2
@bad_dragon The fact is not lost on me that the products you produce bring pleasure so at any given time someone could be moanin 'causa you.,0,0,12.4,70.47,14.0,26.0,9.9,0,4,2,7.96,6.22,140,1,110,1
"@Valentina_KSP May luck always be your cargo for your rocket-powered adventures in science and discovery.  Green to the stars, Valentina.",0,0,11.1,52.87,6.0,10.0,8.4,0,6,4,10.45,8.1,137,7,104,2
@FuzzWolf @Faolan_Da_Snolf I find myself wondering if the shortage of bees has dramatically increased pollen count as trees use wind now...,0,0,15.8,50.16,13.5,21.0,11.5,1,7,3,11.45,7.42,139,6,106,1
@TaniDaReal ooooo...  I wanna try that one.  :9,0,1,4.9,88.74,3.0,2.67,2.9,1,6,5,11.93,6.0,47,4,27,3
@Karishad Time for a visit to the chiropractor.  Or an encounter with an affectionate bear friend.,0,0,6.7,63.36,4.0,8.0,6.4,0,3,2,7.98,7.5,98,3,76,2
@deejvalen Opting to run around in a cute red cape and hood should discourage such attention.  0:3 (epitomizes lie like a dog),0,2,6.3,77.23,6.5,11.0,5.2,0,5,4,8.49,5.67,126,1,96,2
@casidhe @MikaseCoyote coyotes aren't knows for sharin'.  You need a pack of wolves for that.  -sage nod-,0,0,6.9,88.23,3.75,5.67,3.1,0,8,6,10.56,6.12,105,3,76,3
"@deejvalen Nos, now, you could always be in the control group.  Though your tweets seem to suggest you are never that lucky.  :9",0,1,5.6,85.18,5.25,7.67,4.2,0,6,5,8.33,6.5,128,2,95,3
@MikaseCoyote @casidhe violates certain physical laws.  -nodnod-  Probaby a bunch of state and federal ones too.,0,0,10.5,46.44,5.5,8.0,8.8,0,6,4,12.92,7.0,112,3,86,2
"@GeorgeTakei Just as well anyway, I'm sure most of what we do on the phone is an abomination. Though Leviticus never mentions Candy Crush...",0,0,7.6,76.22,6.0,12.0,5.6,1,7,6,6.86,7.71,140,8,102,2
@casidhe I concede of course that @mikasecoyote was first.  I'll just... Wait right here.  Don't mind me. http://t.co/7IuLWP78rM,0,3,10.1,82.31,2.67,3.6,3.3,2,15,10,10.07,6.14,128,9,82,5
@DJSnM Good heavens! By the article we understand that this monster is right back on th'streets with normal human beings?! -deadbolt sounds-,0,0,9.6,68.77,5.5,7.33,6.4,0,7,6,11.36,6.73,140,6,106,3
@casidhe this should make the next few hours of decisions easier.  :9,0,1,6.9,76.22,7.0,6.0,5.6,0,3,2,10.81,6.2,69,0,53,2
"@deejvalen being the science-minded creature I am, this would require extensive research and experimentation.  :3",0,1,16.8,13.95,11.5,7.5,15.0,1,5,4,13.85,10.0,113,1,91,2
Intuitive disciplinary invention?  Thaaaat's a paddlin'. http://t.co/GoEqbbCXAa,0,0,28.8,-16.69,2.75,2.33,16.5,0,9,6,24.11,8.8,79,7,56,3
"@katpompon that was not apotential commissioner, that was just an entitled ass hole.  Throw them away your brain's recycle bin.",0,0,8.8,61.33,6.5,10.0,7.2,0,5,4,9.66,6.7,127,1,101,2
@JayRNaylor it's always good to have that one friend that seems to actually give your existence meaning and purpose you lacked before them.,0,0,14.0,56.59,14.5,23.0,11.1,0,3,2,9.58,7.0,139,3,111,1
@KojiFox it'd be interresting as some of the same folks who would also say that the space program is a hoax and we've never been to space.,0,0,11.6,69.45,15.5,27.0,10.3,0,4,3,7.9,6.43,138,2,106,1
"@StephenKing you driving a Tesla makes me happy for reasons I lack the imagination to adequately explain.  Good show, I say.",0,0,6.9,60.82,5.25,10.5,7.4,2,4,3,10.17,6.91,124,6,93,2
@Rikoshi you can't just say that and not share a link!,0,0,2.9,111.07,4.5,11.0,0.5,0,3,2,7.05,4.75,54,1,40,1
@VermyFox mmmmm.  Moxie,0,0,11.5,9.21,1.5,1.5,12.7,0,2,1,19.58,6.0,23,3,15,2
"@LilMissCoyote now now, full disvlosure!  It's actually a good 70 percent of their vocabulary.",0,1,9.0,47.45,4.5,7.0,8.4,0,6,4,10.75,7.67,94,4,69,2
@SavrinDrake Can't imagine anyone I'd buy an autograph from.  Maybe I'd buy from @telephonesqueak since I throw cash at her on sight anyhow.,0,0,8.3,85.18,5.25,11.5,4.2,3,7,5,6.95,6.5,140,7,103,2
"@CasualFennec if I started, I couldn't stop.  X.x",0,0,6.7,63.36,4.0,4.0,6.4,2,5,4,9.95,5.8,49,5,31,2
@AlflorAlflor woooooo Bruins!  &gt;.&lt;,0,0,23.0,75.88,1.0,2.0,3.7,0,7,4,23.57,4.43,40,3,26,2
@RichardNightfox gonna have to make yourself a fruit bat character soon enough.,0,0,11.3,76.22,7.0,12.0,5.6,0,2,1,8.18,7.2,79,2,64,1
@Scapponess I approve of this message.  o.o,0,0,6.3,81.29,2.5,3.5,3.7,1,3,2,10.75,6.75,43,2,31,2
@RicksWriting 15 minutes till numb paw prevents text functions.  :),0,1,12.9,62.34,5.0,5.0,6.8,0,5,3,16.36,6.12,67,2,49,2
"@AlflorAlflor that was supposed to be guarantee, not giants.  Betrayed by swipe AND autocorrect",0,0,9.3,64.37,3.5,7.0,6.0,1,3,2,11.88,8.43,95,6,72,2
@AlflorAlflor the simple truth of evolution.  We can almost giants they were,0,0,6.7,73.85,2.5,6.0,4.5,0,2,1,7.88,7.6,76,3,59,2
@mishacollins most interesting way to meet new friends.  :D,0,0,9.3,79.26,4.5,4.5,4.4,1,3,2,9.35,8.5,59,1,46,2
@BlaiddWolfe random?  From which door?,0,0,12.2,83.32,1.5,2.5,2.9,0,3,2,10.2,8.5,38,3,27,2
Case in point for the Ithunna... http://t.co/lI4edNtNsn,0,1,15.0,64.37,3.5,7.0,6.0,0,8,5,15.26,5.33,55,5,35,1
Ithunna had a very aggressive day yesterday in #Ingress. http://t.co/JxcdsuI1Fi,0,1,16.5,27.49,7.0,5.0,11.9,0,7,3,15.19,7.2,79,5,57,2
@jillcostumes caring for canaries is hard..,0,0,11.4,56.93,3.0,6.0,6.8,0,3,2,11.83,7.5,43,0,35,1
@KikuOtter I love the live episodes of startalk the most.  :3,0,1,5.5,102.61,4.5,5.5,1.7,1,3,2,9.92,6.6,61,3,43,2
"@Citrinelle as a parent of a two year old, my jealousy is not over the sexy content, but the free time to roleplay!  :3",0,1,9.2,80.96,12.0,12.0,7.9,0,5,4,8.77,6.11,119,1,88,2
@AlflorAlflor my dream of becoming a jittery straight henchman fearful of his laytex-clad master's wrath draws nearer to fruition!,0,0,15.8,60.65,11.5,19.0,9.5,0,4,3,13.72,7.33,130,2,106,1
@cnrsocial7 it was mild.  Just still rather unusual in Texas so it's twitterworthy,0,1,6.8,73.34,3.75,6.5,4.6,0,3,2,10.03,7.8,82,2,63,2
@DFWscanner USGS is calling that one a 3.3 but it felt stronger than the 3.5 a couple months back.,0,4,1.6,90.46,2.5,19.0,2.2,1,4,3,9.77,5.5,98,7,65,1
That was a pretty bouncy earthquake right there.  Felt like about a 3.8,0,2,2.8,98.72,2.25,6.5,1.1,0,2,2,8.82,5.8,71,2,52,2
@DFWscanner just felt a pretty jarring earthquake by the Irving convention Center.  I'm on the sixth floor of Urban Towers,0,0,7.6,61.33,5.0,10.0,7.2,1,3,2,9.66,6.67,122,8,91,2
"@SethMacFarlane pardon me, gonna roll around in this post for a bit.  :D",0,0,6.5,83.66,6.5,6.5,4.8,1,4,3,7.93,5.67,72,4,51,2
@SethMacFarlane Ted made me cry.  We can call that serious.,0,0,4.1,74.86,2.5,5.0,4.1,0,3,2,8.62,5.6,59,5,41,2
@tarastrong no one ever warns them about the dangers of cider addiction until their Pegasus pal convinces them to sleep over in Cloudsdale,0,0,13.8,65.05,13.5,23.0,9.9,0,1,0,10.27,7.0,138,2,113,1
@WilliamShatner @torixoxx I'm always happy when an entertainer kinda goes off the rails for the fun of it.  We should all have more fun.,0,0,6.6,84.68,5.5,12.0,4.4,1,5,3,7.52,6.75,136,4,103,2
@deejvalen recipe for relationship: Do stuff you like. Find other people who do that. Do that together. Have fun together. Let it happen.,0,0,4.4,75.27,2.1,4.6,3.9,0,7,6,5.92,6.43,137,5,103,5
Today I will try to convince my wife that I have actually played a very subtle April Fool's prank on her every year and she never noticed.,0,0,11.6,69.45,14.5,27.0,10.3,2,2,2,9.07,5.4,138,5,105,1
"@pathhyena but they become suspicious when, with a little research, they find out you likely spent $1500 on a fursuit for that one gag.  O.o",0,1,12.7,63.02,14.5,12.5,10.7,0,9,4,9.3,5.89,140,1,104,2
@WilliamShatner approved.  O.o,0,0,22.5,59.97,0.5,1.5,5.6,0,3,2,19.58,8.33,30,3,21,2
@VitaiSlade I agree with the content of this message.  This is a splendid hole.  Well dug.,0,0,4.0,88.74,3.5,5.33,2.9,1,4,3,6.99,6.29,90,5,64,3
"@glennbeck as a fellow fantasy writer, I gotta say you have one of the most incredible imaginations of our age. Fascinating doesn't cover it",0,0,7.6,50.84,7.0,12.0,9.2,1,4,3,8.84,7.2,140,2,111,2
"Retraction of earlier retweet, snopes is calling this one false.  Sounded to god to be true.",0,0,4.9,80.28,4.0,8.0,4.1,0,3,3,8.97,6.5,92,2,71,2
"@Shadow_stallion retweeted from vermy.  I'm at work now, will research when I get home.",0,0,6.6,89.75,3.0,7.0,2.5,2,6,4,8.5,7.5,87,3,64,2
"RT @bennydiego: Marcus Bachmann Refused Service in #Indiana, Store Owner Assumed He Was Gay \
\
http://t.co/UsIQyuYN21 #BoycottIndiana http:",0,2,16.6,45.93,5.25,17.0,9.0,1,13,5,15.2,5.93,140,20,87,1
@deejvalen Wolf squeezes back and welcomes smaller sibling to Twitter!,0,0,12.3,61.33,5.0,10.0,7.2,0,2,1,13.61,6.75,70,2,57,1
@KojiFox I.. I just...  Did they inject the vaccine directly into the affected lung?  I'm missing a step with this one.  O.o,0,0,5.5,68.77,6.0,5.5,6.4,3,10,9,9.92,6.0,124,7,83,4
@KojiFox Alps fans himself.  &lt;3,0,1,8.4,66.4,2.5,2.5,5.2,0,4,2,19.67,3.17,34,3,21,2
@VermyFox ah minnerchee sammich!  Nahm!,0,0,13.1,66.4,1.5,2.5,5.2,0,3,2,16.52,7.25,39,3,28,2
"@LuxFoxxie I have not followed you long.  Sadly, written text gets no inflection, so that was lost in the initial response. Seemed irritated",0,0,8.3,68.26,5.75,7.67,6.6,1,5,4,11.07,6.7,140,5,107,3
@LuxFoxxie I misunderstood.  I tried to help.  Your immediate response to that is to point out how stupid I must be.  I'm sorry I cared.  :p,0,0,1.9,90.26,2.75,5.2,2.3,5,7,6,8.21,6.78,140,8,96,5
@LuxFoxxie I had not realized you weren't asking.  Kinda sorry for troubling myself too help.,0,0,6.8,63.86,3.25,7.5,6.2,1,4,3,10.32,6.5,93,4,70,2
"@LuxFoxxie right click on the cell, choose format cells, select number, click okay, then double click the cell and hit enter",0,0,12.4,75.54,10.5,21.0,7.9,0,5,4,7.69,5.36,124,2,97,1
@LuxFoxxie what kind of number would you like it to be?,0,0,3.3,94.15,4.5,11.0,2.9,0,2,1,5.62,6.33,55,2,41,1
"@MossFox be aware, this is auditory hallucination territory.",0,0,13.8,-4.33,6.0,8.0,15.9,0,3,2,13.9,8.4,60,2,48,1
@VermyFox Genghis Grill,0,0,13.0,93.81,0.5,3.0,0.9,0,1,0,19.58,6.67,23,4,16,1
@Texas_Cinder your eyes look very healthy.  Good job if that's makeup.  Jealousy if it's not.  O.o,0,0,4.8,91.48,2.0,4.0,1.8,0,8,6,8.83,6.14,98,5,67,4
@matthewebel excuse while I just roll around in this tweet.  -mmfnffrffnnm-,0,0,11.5,85.69,5.5,5.5,4.0,1,4,3,8.49,6.5,75,1,59,2
@SilverAutomatic how did it feel reminding them?,0,0,10.3,38.99,4.5,7.0,9.6,0,2,1,8.5,9.33,48,2,38,1
"@Rudderbutt you have multiple coyote friends, the solution is simple.",0,0,11.8,44.41,7.0,10.0,9.6,0,3,2,12.03,7.5,69,1,56,1
@Dragoneer I have some of this.  I will drink mine if you drink yours.,0,0,0.9,106.67,2.5,7.0,0.1,2,3,2,5.11,6.33,70,3,50,2
"Hay gize, time out I hab to fight fires.  O.o http://t.co/qQmiWRMNRA",0,0,8.5,68.77,5.5,5.5,6.4,1,8,5,15.67,4.2,68,10,39,2
@chucknicecomic this is great news for comics everywhere.,0,0,12.0,63.36,5.0,8.0,6.4,0,2,1,7.98,7.25,57,0,48,1
@CraxyWoolf I like that you care enough about all of them to want to give them more personal attention.  That's very professional.  :3,0,1,6.8,85.18,6.25,7.67,4.2,1,5,4,6.95,8.6,134,4,100,3
@CraxyWoolf depends if they would want to do what's being done in the picture I bet.  The fans would probably be less lenient as per usual.,0,0,5.6,83.66,6.0,13.0,4.8,1,4,3,8.53,6.38,139,4,105,2
"@BillNye we couldn't convince you to maybe bump into the steering wheel and get us back on the road while your there, maybe?",0,0,10.9,81.97,11.5,23.0,7.5,0,4,3,6.84,5.38,124,2,96,1
@KojiFox aw yeaah... docking computers are for copilots.  \\../,0,0,12.4,50.5,2.25,4.5,7.2,0,10,6,15.68,5.12,63,2,42,2
@solidasp coke zero everywhere.  This is your fault.,0,0,6.5,67.42,2.0,4.0,4.9,0,3,2,9.76,5.25,52,1,40,2
"@KojiFox Be not sad when you discuss topics of importance and those who see you actively listen.  Tis a happy thing, fox.",0,0,5.3,68.77,6.0,11.0,6.4,0,4,3,8.49,5.8,121,4,91,2
"@Zaush your otters would only see an INCREASE in action, I assume",0,0,5.8,76.22,5.0,12.0,5.6,2,2,1,10.81,6.2,65,10,42,1
"@faralcane we can hope.  :3  I'm not pulling out until I'm given reason to.  And as my toddler-gimped freetime will show, it will take a lot",0,1,3.2,88.02,3.67,8.67,3.1,2,8,7,7.71,6.88,140,3,100,3
@Rudderbutt they would need to amend the clause just to give our art BACK to us.,0,0,5.7,97.54,8.0,16.0,3.6,1,2,1,7.39,5.33,80,5,58,1
"@Rudderbutt unfortunately as the sale is finalized, they would already own all of it.",0,0,9.8,57.27,9.0,14.0,8.8,0,3,2,7.71,10.67,85,1,68,1
I have no negative opinions on recent @furaffinity developments until I see actual change I dislike.  We all have options if things falter.,0,0,8.1,51.34,6.75,11.5,9.0,3,3,2,10.39,7.55,139,4,109,2
@WilliamShatner how can anyone remain so completely ignorant when nearly all the combined wisdom of the species is few keystrokes away?  :(,0,0,15.3,58.62,13.0,11.0,10.3,0,4,3,9.94,8.11,139,2,111,2
"@CoyoteWags you say \just\"" like it's not everything we've always wanted.  :9""",0,1,10.5,76.22,6.0,6.0,5.6,0,9,6,8.18,7.33,78,2,54,2
@CoyoteWags sometimes you get more foxes,0,0,9.0,73.85,2.0,6.0,4.5,0,1,0,9.2,7.5,40,2,32,1
@Shadow_stallion I want to say that's not science.... But it is.  O.o,0,0,3.9,90.77,2.5,4.0,2.1,1,9,7,7.88,8.33,69,4,44,3
@Rudderbutt ...  And now it's not just your voice.,0,0,6.7,88.74,4.5,9.0,2.9,0,6,5,6.01,7.5,50,2,33,1
"@BroccoliFox I know, right?  It's hard for me not to eat them myself!  Gotta be a victory of attrition or something.",0,0,3.2,72.83,3.5,7.0,4.8,1,6,5,6.24,6.8,116,5,83,3
@2_gryphon I enjoy your humor because it often requires rather broad awareness that others tend to ignore.  This is an example.,0,1,7.6,69.28,4.75,10.5,6.2,1,4,2,10.17,6.38,127,2,99,2
@DJSnM only because they forgot what it was like to master a simple concept.  The greatest minds never forget the exhiliration of discovery.,0,0,8.3,51.34,5.75,11.5,9.0,0,3,2,8.33,7.0,140,5,109,2
@KojiFox I dunno... Some of the things I've written have been very beneficial to me.  It can be pretty thrilling.  :),0,0,4.3,81.59,3.17,5.25,3.5,2,9,8,7.92,7.14,117,6,80,4
@DJSnM my son's progession with the concepts of science and math are among the things I am the most excited about in fatherhood.,0,0,11.8,65.05,14.5,23.0,9.9,1,3,2,10.27,7.12,128,5,98,1
@Karishad I tried this and it worked!  You need to submit this to life-hacks.  Everyone needs to know about it!,0,0,3.1,90.05,2.67,6.67,2.4,1,5,4,7.92,7.5,111,4,81,3
@Rudderbutt never have I been so sad to live in Texas.,0,0,2.9,85.69,5.5,11.0,4.0,1,2,1,7.05,5.5,54,3,39,1
@CasualFennec I'll sign it.  O.o,0,0,6.5,66.4,2.5,2.5,5.2,1,4,3,10.2,6.33,32,4,19,2
@Ambaaargh I commissioned Ebony Tigress four years ago.  She just recently offered a refund.  I don't even remember what I paid for it.,0,0,5.2,80.58,3.83,7.67,3.9,3,5,4,9.51,6.42,135,7,99,3
"@RicksWriting it's like there is just g-rated church-funny, or offensive party-bros funny.  Zilch in between",0,0,11.5,55.4,4.75,7.5,7.4,0,7,6,10.32,8.57,108,3,83,2
